idx,method,ws,bpr,mae
19,SSD,7,17.216999117579775,3.14256
19,SSD,15,11.896331964311004,2.4745803
19,NCC,7,11.730741995577004,2.6604366
19,NCC,15,9.889643001100302,2.4525785
20,SAD,7,33.02762653760839,6.39914
20,SAD,15,25.963299052228273,5.0557857
20,SSD,7,32.15970961887477,6.1758986
20,SSD,15,25.252671909659206,4.660259
20,NCC,7,24.090340794515022,4.197259
20,NCC,15,22.035087719298247,3.622592
21,SAD,7,38.08372170266651,8.689597
21,SAD,15,28.857311896038112,6.140685
21,SSD,7,35.85833947458559,8.393543
21,SSD,15,26.107760812928802,5.888069
21,NCC,7,13.865044684097445,3.2594376
21,NCC,15,12.035124503077546,2.8075464
22,SAD,7,42.90763038121212,7.96938
22,SAD,15,30.286501039191098,5.452786
22,SSD,7,41.02656295217967,7.614456
22,SSD,15,28.03974357850058,4.901993
22,NCC,7,19.370171269216264,3.0672226
22,NCC,15,15.532618323087583,2.4712532
23,SAD,7,25.786289619582277,5.0546675
23,SAD,15,18.510059625509957,3.7414196
23,SSD,7,24.966874716691656,4.8827624
23,SSD,15,17.827504445761708,3.5597699
23,NCC,7,16.920917744691238,2.3782609
23,NCC,15,14.478363959691762,1.9842271
24,SAD,7,12.984001854857407,2.217835
24,SAD,15,9.923487131926734,1.8447587
24,SSD,7,12.140621377231625,2.0651202
24,SSD,15,10.565441687920242,1.7953697
24,NCC,7,9.722061210294457,1.7394894
24,NCC,15,8.839554834222119,1.5669777
25,SAD,7,31.585241190425677,6.595166
25,SAD,15,24.89922271298243,5.7213383
25,SSD,7,29.662275541497095,6.3103147
25,SSD,15,23.680251509248365,5.3487744
25,NCC,7,10.625494242675565,1.9179449
25,NCC,15,10.325573321503654,1.7046783
26,SAD,7,31.248492566544144,5.5964613
26,SAD,15,21.022064002006697,4.006492
26,SSD,7,28.692850182821527,5.193686
26,SSD,15,18.978707803922703,3.7032442
26,NCC,7,10.250547499831168,1.9772761
26,NCC,15,8.239993053746636,1.6126233
27,SAD,7,29.425481106897035,5.3907466
27,SAD,15,19.182469447956173,3.2416408
27,SSD,7,26.94011331179473,5.0349193
27,SSD,15,15.630472444631739,2.7679777
27,NCC,7,9.206349206349207,1.9088126
27,NCC,15,7.560987030013579,1.4789219
28,SAD,7,36.48725161545444,7.324017
28,SAD,15,24.62231169508129,4.7321844
28,SSD,7,33.36418948673934,6.757137
28,SSD,15,20.67691809938078,4.055999
28,NCC,7,10.525842777413295,2.3282676
28,NCC,15,8.95307767662152,1.6297804
29,SAD,7,52.94197313502666,13.573081
29,SAD,15,42.00760886962731,10.431288
29,SSD,7,50.53003533568905,13.010511
29,SSD,15,38.730131369965896,9.604855
29,NCC,7,19.4321665579099,4.302347
29,NCC,15,10.316297509264844,2.0365293
30,SAD,7,58.55044570502431,15.269775
30,SAD,15,41.64708265802269,11.027692
30,SSD,7,55.37682333873582,14.661306
30,SSD,15,37.347042139384115,10.100347
30,NCC,7,15.766815235008103,4.0892863
30,NCC,15,8.217179902755268,1.9865178
31,SAD,7,32.85031225604996,6.9552402
31,SAD,15,20.98848555815769,4.353491
31,SSD,7,30.443013270882126,6.3782
31,SSD,15,18.23672911787666,3.8937025
31,NCC,7,11.307572209211553,2.44338
31,NCC,15,7.5,1.7304506
32,SAD,7,33.349348609442856,6.519145
32,SAD,15,25.957682712741388,4.8694487
32,SSD,7,31.440450891619697,6.3846784
32,SSD,15,23.581262126951863,4.474271
32,NCC,7,8.132680402845791,2.0487654
32,NCC,15,8.00147833317934,1.6088625
33,SAD,7,25.34681672933537,4.612432
33,SAD,15,17.086097814509195,3.0724444
33,SSD,7,23.165175878752102,4.2836337
33,SSD,15,15.113637821952441,2.774773
33,NCC,7,9.77375101061304,2.108432
33,NCC,15,8.09773751010613,1.6546149
34,SAD,7,32.041302196185434,6.5447903
34,SAD,15,25.823235160367012,5.654253
34,SSD,7,29.874541904074043,6.1722465
34,SSD,15,24.361340716368403,5.405986
34,NCC,7,9.533745285290104,1.9215461
34,NCC,15,9.489607575635985,1.7435542
35,SAD,7,24.09012834904448,4.607693
35,SAD,15,19.006207819959698,3.55157
35,SSD,7,22.847211890883028,4.4173117
35,SSD,15,19.455226605715524,3.4790938
35,NCC,7,8.766686052015851,2.018271
35,NCC,15,8.335249327148055,1.4136792
36,SAD,7,25.510505419505847,4.8926816
36,SAD,15,19.566002034365464,3.609112
36,SSD,7,23.783482264926885,4.591739
36,SSD,15,19.378971661070338,3.478622
36,NCC,7,9.225738004353104,2.4017725
36,NCC,15,7.6682453051001325,1.4787099
37,SAD,7,31.040420128276867,5.5085936
37,SAD,15,22.95424217640222,3.9852064
37,SSD,7,29.046317420687874,5.1617985
37,SSD,15,22.259050406784038,3.8177764
37,NCC,7,11.867762903017521,3.10294
37,NCC,15,8.85347165425509,1.677109
38,SAD,7,27.266863052873763,5.349256
38,SAD,15,19.976562667985466,3.8793173
38,SSD,7,25.24351172941708,5.021344
38,SSD,15,19.384178725783215,3.683924
38,NCC,7,10.700539703700517,2.2085526
38,NCC,15,9.305050852559829,1.5452497
39,SAD,7,25.41282946967291,4.531702
39,SAD,15,19.006033661479833,3.7491083
39,SSD,7,23.032255137685436,4.254967
39,SSD,15,17.726715964251692,3.618699
39,NCC,7,8.368869936034114,1.9274282
39,NCC,15,6.811686249603048,1.3013957
40,SAD,7,20.964531601788103,4.01484
40,SAD,15,12.97027441511404,2.4307113
40,SSD,7,18.756593902611456,3.6691132
40,SSD,15,12.166498080290621,2.24282
40,NCC,7,5.713446666884198,1.5840845
40,NCC,15,4.131997694173437,1.0919354
41,SAD,7,25.038298244846153,4.8193736
41,SAD,15,17.625946513765484,3.430016
41,SSD,7,22.97238149428809,4.4902205
41,SSD,15,16.438700923534817,3.2276065
41,NCC,7,8.425613866153107,1.7687067
41,NCC,15,6.371733706832407,1.4443444
42,SAD,7,22.789991008030757,4.9188147
42,SAD,15,14.215063098818643,2.9398184
42,SSD,7,20.34355523859725,4.423065
42,SSD,15,12.94998604694428,2.7420838
